Batch 879: Elapsed time: 0:03:35, cells: 10036, cells/sec: 46.68, nnz: 18.37M, nnz/sec: 85442.22, nnz/cell: 1830.4, max_nnz_active: 1295.47M, max_cells_active: 511932 
Batch 179: Elapsed time: 0:03:36, cells: 36273, cells/sec: 167.93, nnz: 17.78M, nnz/sec: 82325.99, nnz/cell: 490.2, max_nnz_active: 1611.67M, max_cells_active: 511256 
Batch 928: Elapsed time: 0:03:39, cells: 10745, cells/sec: 49.06, nnz: 3.36M, nnz/sec: 15363.34, nnz/cell: 313.1, max_nnz_active: 1457.98M, max_cells_active: 503495 
Batch 295: Elapsed time: 0:03:39, cells: 8921, cells/sec: 40.74, nnz: 7.39M, nnz/sec: 33723.81, nnz/cell: 827.9, max_nnz_active: 1296.05M, max_cells_active: 509036 
Batch 836: Elapsed time: 0:03:39, cells: 11364, cells/sec: 51.89, nnz: 21.19M, nnz/sec: 96776.80, nnz/cell: 1865.0, max_nnz_active: 1369.28M, max_cells_active: 511495 
Batch 726: Elapsed time: 0:03:40, cells: 9741, cells/sec: 44.28, nnz: 3.75M, nnz/sec: 17057.50, nnz/cell: 385.2, max_nnz_active: 1355.86M, max_cells_active: 511977 
Batch 166: Elapsed time: 0:03:42, cells: 10584, cells/sec: 47.68, nnz: 13.50M, nnz/sec: 60816.56, nnz/cell: 1275.6, max_nnz_active: 1364.71M, max_cells_active: 511984 
Batch 909: Elapsed time: 0:03:45, cells: 9124, cells/sec: 40.55, nnz: 15.46M, nnz/sec: 68691.23, nnz/cell: 1693.9, max_nnz_active: 1500.74M, max_cells_active: 511884 
Batch 366: Elapsed time: 0:03:52, cells: 16156, cells/sec: 69.64, nnz: 18.71M, nnz/sec: 80625.19, nnz/cell: 1157.8, max_nnz_active: 1308.95M, max_cells_active: 512000 
Batch 187: Elapsed time: 0:03:53, cells: 25403, cells/sec: 109.03, nnz: 10.42M, nnz/sec: 44712.99, nnz/cell: 410.1, max_nnz_active: 1450.66M, max_cells_active: 511753 
Batch 154: Elapsed time: 0:03:56, cells: 13215, cells/sec: 56.00, nnz: 5.94M, nnz/sec: 25172.26, nnz/cell: 449.5, max_nnz_active: 829.27M, max_cells_active: 510832 
Batch 85: Elapsed time: 0:04:00, cells: 8889, cells/sec: 37.04, nnz: 8.85M, nnz/sec: 36860.71, nnz/cell: 995.2, max_nnz_active: 1184.08M, max_cells_active: 503054 
Batch 769: Elapsed time: 0:04:05, cells: 10782, cells/sec: 44.01, nnz: 7.02M, nnz/sec: 28653.82, nnz/cell: 651.1, max_nnz_active: 1406.04M, max_cells_active: 511970 
Batch 795: Elapsed time: 0:04:05, cells: 8774, cells/sec: 35.81, nnz: 4.82M, nnz/sec: 19657.21, nnz/cell: 548.9, max_nnz_active: 1339.81M, max_cells_active: 511998 
Batch 860: Elapsed time: 0:04:08, cells: 12179, cells/sec: 49.11, nnz: 20.54M, nnz/sec: 82828.11, nnz/cell: 1686.6, max_nnz_active: 1483.61M, max_cells_active: 511924 
Batch 265: Elapsed time: 0:04:10, cells: 9761, cells/sec: 39.04, nnz: 20.51M, nnz/sec: 82047.93, nnz/cell: 2101.4, max_nnz_active: 1277.47M, max_cells_active: 511996 
Batch 194: Elapsed time: 0:04:10, cells: 39287, cells/sec: 157.15, nnz: 19.12M, nnz/sec: 76487.70, nnz/cell: 486.7, max_nnz_active: 1594.05M, max_cells_active: 511902 
Batch 81: Elapsed time: 0:04:13, cells: 16175, cells/sec: 63.93, nnz: 6.41M, nnz/sec: 25332.64, nnz/cell: 396.2, max_nnz_active: 1277.47M, max_cells_active: 511996 
Batch 339: Elapsed time: 0:04:13, cells: 8483, cells/sec: 33.53, nnz: 10.86M, nnz/sec: 42936.32, nnz/cell: 1280.5, max_nnz_active: 1444.05M, max_cells_active: 511996 
Batch 34: Elapsed time: 0:04:14, cells: 9088, cells/sec: 35.78, nnz: 3.47M, nnz/sec: 13644.00, nnz/cell: 381.3, max_nnz_active: 815.91M, max_cells_active: 511994 
Batch 168: Elapsed time: 0:04:14, cells: 12632, cells/sec: 49.73, nnz: 16.18M, nnz/sec: 63692.38, nnz/cell: 1280.7, max_nnz_active: 1213.13M, max_cells_active: 511987 
Batch 192: Elapsed time: 0:04:18, cells: 20517, cells/sec: 79.52, nnz: 11.47M, nnz/sec: 44470.97, nnz/cell: 559.2, max_nnz_active: 1271.14M, max_cells_active: 511775 
Batch 857: Elapsed time: 0:04:19, cells: 10800, cells/sec: 41.70, nnz: 18.66M, nnz/sec: 72051.94, nnz/cell: 1727.9, max_nnz_active: 1406.04M, max_cells_active: 511970 
Batch 35: Elapsed time: 0:04:22, cells: 9397, cells/sec: 35.87, nnz: 5.04M, nnz/sec: 19230.76, nnz/cell: 536.2, max_nnz_active: 815.91M, max_cells_active: 511994 
Batch 165: Elapsed time: 0:04:22, cells: 13876, cells/sec: 52.96, nnz: 23.61M, nnz/sec: 90126.88, nnz/cell: 1701.7, max_nnz_active: 1179.33M, max_cells_active: 499239 
